,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
75,2020/081 19:42:59.493,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:42:59.493,0,406034220.891,0.000,2.861,30.893,31.524,1.316,0.364,0,5002,0,399.929,FFFE2F 53CE00 000080 000D14 8E5436 556FBE
76,2020/081 19:42:07.392,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:42:07.392,0,406034220.930,0.000,2.861,30.865,32.165,1.321,0.388,0,4999,0,399.991,FFFE2F 53CE00 000000 000D14 8E56F3 2B2C0E
77,2020/081 19:41:16.624,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:41:16.624,0,406034220.836,0.000,2.861,40.638,42.425,1.257,0.255,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E5065 8E4A12
78,2020/081 19:40:26.092,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:40:26.092,0,406034220.617,0.000,2.861,41.141,42.595,1.269,0.259,0,5001,0,399.991,FFFE2F 53CE00 000000 000DD4 8E50E8 9F6488
79,2020/081 19:39:34.654,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:39:34.654,0,406034220.766,0.000,2.861,40.176,41.947,1.253,0.259,0,5001,0,399.991,FFFE2F 53CE00 000000 000D14 8E50D0 AB6525
80,2020/081 19:38:46.120,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:38:46.120,0,406034220.477,0.000,2.861,39.699,43.814,1.307,0.252,0,5391,0,400.022,FFFE2F 53CE00 000000 000D14 8E50C9 9777C2
81,2020/081 19:37:56.295,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:37:56.295,0,406034220.008,0.000,2.861,40.333,42.766,1.284,0.326,0,5001,0,400.099,FFFE2F 53CE00 000000 000D14 8E50B3 36719C
82,2020/081 19:32:56.026,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:32:56.026,0,406034220.047,0.000,2.861,40.898,42.161,1.254,0.268,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5061 D6D6F5
83,2020/081 19:32:06.178,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:32:06.178,0,406034219.477,0.000,2.861,40.824,42.668,1.255,0.260,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E508C D5EAA7
84,2020/081 19:31:17.672,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:31:17.672,0,406034219.180,0.000,2.861,40.176,42.096,1.256,0.260,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5030 0AE09A
85,2020/081 19:30:29.242,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:30:29.242,0,406034219.719,0.000,2.861,39.651,41.984,1.256,0.251,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E50EA C48727
86,2020/081 19:29:37.091,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:29:37.091,0,406034219.367,0.000,2.861,40.027,42.627,1.258,0.290,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E5086 5CA4A7
87,2020/081 19:28:47.607,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:28:47.607,0,406034219.375,0.000,3.815,40.389,42.209,1.253,0.165,0,77,0,400.037,FFFE2F 53CE00 000000 000D14 8E5263 A1DEE1
88,2020/081 19:27:09.732,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:27:09.732,0,406034219.266,0.000,2.861,40.541,42.795,1.256,0.296,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E503C 1C5B9F
89,2020/081 19:26:18.877,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:26:18.877,0,406034219.219,0.000,2.861,40.109,42.157,1.258,0.266,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50B6 F4FAEB
90,2020/081 19:25:27.374,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:25:27.374,0,406034218.625,0.000,2.861,40.572,42.464,1.256,0.242,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E5043 868251
91,2020/081 19:23:47.008,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:23:47.008,0,406034218.219,0.000,2.861,40.153,42.038,1.256,0.264,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E5044 AC16D4
92,2020/081 19:22:57.493,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:22:57.493,0,406034218.039,0.000,2.861,40.626,42.143,1.276,0.263,0,5391,0,399.975,FFFE2F 53CE00 000000 000D14 8E50FB DDA007
93,2020/081 19:22:05.609,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:22:05.609,0,406034950.477,0.000,2.861,39.716,41.887,1.260,0.243,0,4974,0,401.815,FFFE2F 53CE00 000000 000D14 8E50CB DF157D
94,2020/081 19:21:17.782,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:21:17.782,0,406034217.742,0.000,2.861,40.092,41.401,1.255,0.263,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5032 16E312
